question,answer
what languages does Moni speak ,"Moni speaks English, Hindi, Marathi and  Kannada."
where can I see Moni\'s resume,You can see his resume on his GitHub - https://github.com/Mohanishpradeep/Resume-Mohanish-Pradeep
Tell me about Moni\'s hobbies | any hobbies | what about his hobbies,Moni loves to read books and workout in the Gym. He is currently learning Kickboxing. He likes both Indian and Western Dance forms.
Does Moni have any publications| does he have any patents,Moni has a publication in the field of Structural Engineering - To study the effects of Recron 3S fibers in Concrete on its strength.
what project is Moni most proud of,"Mohanish is passionate about GenAI and its applications such as Recommendation Systems and Bots (Such as the one you are interacting now), He has done several projects in the field of ML such as Credit Card fraud detection and crop detection using satellite data (Sentinal -I). "
What is Moni\'s passion,"He is passionate about Data Analytics, Machine Learning, and Conversational AI, but most of all, he is passionate about solving customers\' problems using the technologies above."
Tell me about Moni\'s strengths | what about Mohanish\'s strengths?,"Mohanish is known for his expertise in AI and Machine learning, particularly in the development and deployment of Large Language Models (LLMs) and Machine Learning solutions for enterprise applications. His strengths lie in his ability to tackle complex problems with innovative AI solutions, his deep understanding of machine learning algorithms, and his knack for implementing them effectively in real-world scenarios. Additionally, Mohanish is praised for his strong analytical skills, attention to detail, and commitment to delivering high-quality results. His optimism and friendliness make him a valuable collaborator and team member, enhancing his ability to work effectively with others. "
Tell me about Moni\'s weaknesses,"Mohanish approaches his work with humility, acknowledging that he has areas for growth. He recognizes the importance of balancing work and personal time, striving to optimize his productivity during work hours. However, he may sometimes find it challenging to delegate tasks, as he prefers to ensure that things are done correctly."
What kind of a leader is Moni? | What is Moni\'s managerial style? What is Moni\'s leadership style?,"Mohanish is known for his strong leadership skills among his batchmates and someone to rely on during the times of crisis, he has the ability to collaborate with diverse teams, and a knack for problem-solving. He has a passion for innovation and is always eager to take on new challenges."
Tell me about Moni experience | tell me about his job | where is he working right now," Moni is currently pursuing his Master's in Business Analytics - Data Science at The University of Texas at Dallas, with an expected graduation in May 2024, and is open to relocation. He has earlier worked as a Project management Trainee with a construction firm organizing meetings with clients to adress cost escalations due to changes in specifications and reinforcing contractual specifications, gathering requirements in the event of change in project scope and negotiating price in the event of price escalation. Regularly interacting with on site workers to solve day to day issues regarding material availabilty and equipment breakdown. "
What else can you tell me about Moni? Tell me something interesting about Moni,"Some interesting facts about Mohanish is his passion for working out to stay fit and building his soft-skills such as public speaking . Despite his busy schedule, he makes time to hit the Gym and go on Marathons. Mohanish finds running to be a great way to clear his mind and stay fit. He loves guiding people on various aspects of life including Academics. He is passionate about Mathematics and Physics."
What are Moni's career goals? | What are his aspirations?,"Mohanish's career goals revolve around leveraging AI and data science to drive innovation and solve complex problems in various industries. He aspires to be at the forefront of AI/ML research and development, working on cutting-edge projects that push the boundaries of what is possible with technology. He aims to make a positive impact on society by using AI to address critical issues and improve people's lives. "
Does Moni have experience in Snowflake? | Does Moni have experience in AWS?,"Yes, Mohanish has experience with Snowflake and AWS. He has worked with these platforms during the academic classes he took at UTD."
Has Moni worked with OpenAI API? | Has Moni worked with HuggingFace API?,"Yes, Mohanish has worked on deploying GenAI models on HuggingFace, OpenAI API, Firebase API for database management. He also has experience with Azure ML and Google Cloud AI Platform for model training and deployment."
Who built you? | Who created you? | Who is your developer?,"I was built by Mohanish, a talented data scientist and AI enthusiast. He designed me to assist with answering questions about his background, skills, and experiences. If you have any questions about Mohanish, feel free to ask!"
Where is he based out of? | Where does he live? | Where is he located? | Where is Moni? ,"Mohanish is currently based in Dallas, Texas, where he is pursuing his Master of Sciences in Business Analytics - Data Science at The University of Texas at Dallas. He is open to relocation for career opportunities and is willing to travel for work."
Ok thanks Bye,"You're welcome! If you have any more questions or need further information about Mohanish, feel free to ask. Have a great day!"
What's your graduation cgpa | What's your gpa | What's your cgpa,Mohanish graduated with a CGPA of 3.6 out of 4 from the University of Texas at Dallas.
When did Moni graduate | When did Moni finish his degree | When did Moni complete his education,"Mohanish is expected to graduate with a Master of Sciences in Business Analytics - Data Science from The University of Texas at Dallas in May 2024. He completed his Bachelor of Engineering in Civil Engineering from SJCE Karnataka, India in May 2016."
Why is Moni a good fit for Amazon | Why is Moni a good fit for Meta | Why is Moni a good fit for Apple | Why is Moni a good fit my company?," ""Mohanish is a good fit for your company due to his strong technical skills experience in data science and AI and his passion for innovation. He has a proven track record of developing Business Intelligence solutions that drive business impact and improve operational efficiency. His expertise in machine learning data analysis and cloud platforms makes him a valuable asset for companies looking to leverage AI technologies to enhance their products and services. Additionally Mohanish's leadership experience problem-solving abilities and commitment to continuous learning align well with the culture of innovation and excellence at top tech companies. His passion for using AI to solve complex problems and drive positive change makes him an ideal candidate for roles that require creativity technical expertise and a strong drive for innovation."""
Who is Moni? | Who is Mohanish? ,"Mohanish (Moni)  is a talented data scientist and AI enthusiast with a background in Machine Learning and Business Intelligence. He holds a Bachelor's in Civil Engineering from SJCE Karnataka, India and is currently pursuing a Master of Sciences in Business Analytics - Data Science at The University of Texas at Dallas. Mohanish has experience working as a project management Analyst  at various companies where he developed Business solutions, conducted data analysis, and implemented processes to improve the management of Projects. He is passionate about AI, data science and machine learning, and is dedicated to leveraging these technologies to drive innovation and solve complex problems. Mohanish is known for his technical expertise leadership skills and commitment to continuous learning making him a valuable asset in the field of AI and data science."
What jobs is Moni seeking? | What job roles is Mohanish looking for? | What positions is Moni interested in?,"Mohanish is seeking roles in the field of data science, AI, machine learning, Business Intelligence and Data Analytics. He is interested in positions such as Data Scientist Data analyst Machine Learning Engineer Business Analyst. Mohanish is open to opportunities that allow him to leverage his technical skills creativity and problem-solving abilities to drive innovation and make a positive impact in various industries."
